# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).

#  ombh2   DeltaN    Yp    

52 25

0.021200 2.500000 0.273718
0.021400 2.500000 0.273825
0.021600 2.500000 0.273897
0.021800 2.500000 0.273987
0.022000 2.500000 0.274081
0.022200 2.500000 0.274154
0.022400 2.500000 0.274245
0.022600 2.500000 0.274328
0.022800 2.500000 0.274417
0.023000 2.500000 0.274487
0.023200 2.500000 0.274579
0.023400 2.500000 0.274660
0.023600 2.500000 0.274748
0.023800 2.500000 0.274817
0.024000 2.500000 0.274905
0.025000 2.500000 0.275290
0.026000 2.500000 0.275657
0.027000 2.500000 0.276002
0.028000 2.500000 0.276334
0.029000 2.500000 0.276658
0.030000 2.500000 0.276977
0.031000 2.500000 0.277259
0.032000 2.500000 0.277550
0.033000 2.500000 0.277816
0.034000 2.500000 0.278096
0.035000 2.500000 0.278344
0.036000 2.500000 0.278597
0.037000 2.500000 0.278827
0.038000 2.500000 0.279075
0.039000 2.500000 0.279300
0.040000 2.500000 0.279534
0.005000 3.000000 0.259134
0.006000 3.000000 0.262699
0.007000 3.000000 0.265311
0.008000 3.000000 0.267308
0.009000 3.000000 0.268963
0.010000 3.000000 0.270334
0.011000 3.000000 0.271511
0.012000 3.000000 0.272548
0.013000 3.000000 0.273458
0.014000 3.000000 0.274280
0.015000 3.000000 0.275029
0.016000 3.000000 0.275713
0.017000 3.000000 0.276328
0.018000 3.000000 0.276899
0.019000 3.000000 0.277454
0.020000 3.000000 0.277954
